Algorithm,Accuracy,Precision,Recall,F1
Autoencoder,0.9983323093127359,0.5714285714285714,0.2,0.29629629629629634
Random Forest,0.9993855876415343,0.8421052631578947,0.8,0.8205128205128205
SVM,0.9685771965241815,0.0481283422459893,0.9,0.09137055837563451
KNN,0.9982445361186694,0.5,0.85,0.6296296296296295
XGBOOST,0.9964890722373387,0.32142857142857145,0.9,0.4736842105263158
